year,adjectives
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[elderly]]
1988,[]
1988,[]
1988,[]
1988,[dreaded]]
1988,"[infamous, criminal]]"
1988,[exiled]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[young]]
1988,[]
1988,[]
1988,[beautiful]]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[homeless]]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[greedy]]
1988,[]
1988,[]
1988,[mutual]]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[common]]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[hale]]
1988,[]
1988,[]
1988,[burly]]
1988,[young]
1988,[]
1988,"[drunk, young]]"
1988,[new]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[young]]
1988,[]
1988,[]
1988,[]
1988,[]
1988,[second]]
1988,[wealthy]]
1988,[orphan]]
1988,[]
1988,[]
1988,[]
1989,[]
1989,[]
1989,[]
1989,[fourth]]
1989,[]
1989,[]
1989,[married]]
1989,[]
1989,[]
1989,[true]]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[young]]
1989,[]
1989,[]
1989,[]
1989,[respected]]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[upper]]
1989,[]
1989,[imaginary]]
1989,[]
1989,[]
1989,[old]]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[old]]
1989,[old]]
1989,[]
1989,[innocent]]
1989,[]
1989,[]
1989,[ruthless]]
1989,[]
1989,[]
1989,[cruel]]
1989,"[little], eccentric]]"
1989,[stingy]
1989,[young]]
1989,[precocious]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[upstanding]]
1989,[]
1989,[]
1989,[]
1989,[]
1989,[humiliated]]
1989,[]
1989,[]
1989,[late]]
1989,[]
1989,[close]]
1989,[dejected]
1989,[seth]]
1989,[]
1989,[]
1989,[]
1989,[corrupt]]
1989,[]
1989,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[good]]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[bigwigs]]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[famous]]
1990,[new]]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[vampire]]
1990,[]
1990,[]
1990,[righteous]]
1990,[]
1990,[local]]
1990,[]
1990,[dangerous]]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[rich]]
1990,[enrages]]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[simple]]
1990,[henpecked]
1990,[]
1990,[]
1990,[married]]
1990,[unmarried]]
1990,[]
1990,[]
1990,[Amateur]]
1990,[fine]]
1990,[]
1990,[]
1990,[reputed]]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[angry]]
1990,[]
1990,[]
1990,[]
1990,[separate]]
1990,[second]]
1990,[wily]]
1990,[grateful]]
1990,[]
1990,[rival]]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[young]]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[]
1990,[young]]
1990,[medical]
1990,[]
1990,[decent]]
1990,[]
1990,[]
1990,"[strong], evil]]"
1990,"[powerful, helpless]]"
1990,[innocent]
1990,[]
1990,[]
1990,[]
1990,[qualified]]
1990,[]
1990,[]
1990,[dishonest]]
